LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,PD,P,SUBPRIME,P,CONV,2,0.0578,160000,12/22/05,2/1/06,39750,325,302,346,No PMI Insurance,Wellington,CO,80549,549,,,,,,,,,,,,,,,60 DPD,0,12/8/08,,136000,2/22/10,41880.42,0.0578,12/5/10,530,N,Y,123056.12,12/31/10,Y,,,5000
,,PD,P,SUBPRIME,P,CONV,2,0.0995,112000,11/20/06,1/1/07,22200,360,310,360,No PMI Insurance,San Antonio,TX,78250,656,,,,,,0,,,,,,,,,CURRENT,0,,,,,21603.06,0.0995,12/30/10,647,N,N,88800,6/2/08,N,,,2500
,,SF,P,SUBPRIME,P,CONV,1,0.07,455000,7/27/06,9/1/06,409500,334,332,334,No PMI Insurance,Washington,DC,20018,554,,,,,,,,,,,,,,,FC,0,12/15/08,5/19/09,430000,10/20/10,430012.46,0.07,3/30/09,595,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0695,430000,10/12/06,12/1/06,344000,360,310,360,No PMI Insurance,Staten Island,NY,10314,724,,,,,,,,,,,,,,,CURRENT,0,,,,,327917.95,0.0695,12/10/10,738,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.0735,150000,8/23/06,10/1/06,130000,337,308,337,No PMI Insurance,Parma,OH,44130,622,0.0692,0.155,0.095,,0.015,,6,6WSLB,9/1/10,0.015,6,0,,6,CURRENT,0,9/23/08,,115441,8/10/10,125012.91,0.095,12/27/10,664,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.1135,160000,5/16/06,6/1/06,138000,362,305,480,No PMI Insurance,Dearborn,MI,48126,563,,,,,,0,,,,,,,,,CURRENT,131600,2/5/10,,60000,11/9/09,19184.11,0.02,12/27/10,611,N,Y,,,N,,,1500
,,SF,P,SUBPRIME,R,CONV,1,0.0745,498000,7/7/06,8/1/06,398400,360,306,360,No PMI Insurance,Crystal Lake,IL,60014,698,,,,,,,,,,,,,,,CURRENT,0,,,,,379379.07,0.0745,12/15/10,759,N,Y,,,N,90645.65,12/31/10,5000
,,SF,P,SUBPRIME,P,PMI,1,0.07875,121000,9/6/06,11/1/06,120516,360,314,360,PMI Mortgage Ins Co,Binghamton,NY,13903,,,,,,,,,,,,,,,,90 DPD,0,,,77900,9/1/10,116180.71,0.07875,12/16/10,533,N,N,,,N,,,2500
,,SF,P,SUBPRIME,C,CONV,1,0.10375,105000,7/12/06,9/1/06,99750,360,309,360,No PMI Insurance,Byesville,OH,43723,,,,,,,0,,,,,,,,,60 DPD,0,,,72000,7/2/09,97177.34,0.10375,12/8/10,531,N,Y,,,N,,,1500
,,MA,P,SUBPRIME,R,CONV,1,0.1088,93500,10/17/00,12/1/00,46715,360,239,0,No PMI Insurance,Hot Springs,NC,28743,,,,,,,0,,,,,,,,,30 DPD,0,,,80000,6/3/10,40636.45,0.10875,12/3/10,,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.08,190000,5/30/06,7/1/06,125000,360,305,540,No PMI Insurance,Pensacola,FL,32503,570,,,,,,,,,,,,,,,CURRENT,0,,,,,123465.87,0.08,12/9/10,762,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.08,94000,11/3/01,9/1/05,81844.22,317,255,317,No PMI Insurance,Cleveland,OH,44102,497,,,,,,0,,,,,,,,,REPERF,0,8/17/05,,40000,8/5/10,76177.36,0.08,12/22/10,709,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.076,83000,6/25/03,8/1/03,66400,360,270,0,No PMI Insurance,Jacksonville,FL,32206,654,,,,,,0,,,,,,,,,CURRENT,0,,,,,60351.78,0.076,11/30/10,530,Y,Y,,,N,10656.33,12/31/10,5000
,,CO,P,SUBPRIME,C,CONV,1,0.0795,138000,8/26/06,10/1/06,117300,360,322,360,No PMI Insurance,Clearwater,FL,33764,618,,,,,,0,,,,,,,,,FC,0,,8/4/09,45000,12/8/10,113978.21,0.0795,10/25/10,440,N,Y,,,N,,,1500
