LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,S,SUBPRIME,C,CONV,1,0.1035,92000,6/30/97,8/1/97,73600,360,224,0,No PMI Insurance,Schroon Lake,NY,12870,495,0.0545,0.1635,0.1035,,0.01,0,6,6W1BD,7/1/99,0.01,6,0,,6,FC,0,,2/3/09,155000,12/17/10,65557.13,0.1035,11/25/08,492,N,Y,,,N,,,5000
,,PD,P,SUBPRIME,P,CONV,1,0.0472,215000,11/22/05,1/1/06,172000,323,306,323,No PMI Insurance,Orlando,FL,32839,671,,,,,,60,,,,,,,,,90 DPD,0,1/28/09,,90000,8/5/10,125724.62,0.0472,12/3/10,523,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0468,240000,8/22/05,10/1/05,191920,319,299,319,No PMI Insurance,Markham,IL,60428,582,,,,,,,,,,,,,,,60 DPD,0,3/17/09,,148000,11/17/09,136977.7,0.0468,12/7/10,619,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.09035,174000,9/19/06,11/1/06,135760,360,309,480,No PMI Insurance,Vernal,UT,84078,,0.06,0.15035,0.09035,,0.01,,6,6WSLB,10/1/08,0.01,6,0,,6,CURRENT,0,,,153000,2/12/10,134028.62,0.09035,12/23/10,504,N,Y,,,N,34455.2,12/31/10,5000
,,SF,P,SUBPRIME,,CONV,1,0.0505,322000,4/3/06,6/1/06,256000,320,316,320,No PMI Insurance,Lusby,MD,20657,625,,,,,,,,,,,,,,,90 DPD,0,8/31/09,,175000,11/5/10,265987.18,0.0505,6/18/10,508,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0747,160000,3/20/06,5/1/06,140000,360,305,311,No PMI Insurance,Coolidge,AZ,85228,649,,,,,,,,,,,,,,,60 DPD,0,5/18/10,,50000,2/9/10,141441.03,0.0597,12/6/10,559,N,Y,,,N,,,5000
,,PD,P,ALT A,C,CONV,1,0.06375,1600000,5/22/07,7/1/07,1000000,360,317,360,No PMI Insurance,Gallatin,TN,37066,749,0.0225,0.11375,0.0225,,0.01,,6,6W1BD,6/1/12,0.01,6,0,,6,CURRENT,0,,,1600000,5/10/07,1000000,0.06375,11/30/10,786,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.066,226500,7/8/05,9/1/05,180000,360,295,360,No PMI Insurance,Corpus Chri,TX,78418,575,0.058,0.126,0.066,,0.01,,6,6W1BD,8/1/13,0.01,6,0,,6,CURRENT,0,7/7/08,,214000,4/28/09,167797.76,0.066,12/2/10,704,N,Y,,,N,42949.88,12/31/10,5000
,,SF,I,ALT A,,CONV,1,0.07,160000,6/7/07,8/1/07,128000,360,319,360,No PMI Insurance,Payette,ID,83661,696,0.0225,0.12,0.0225,,0.01,,6,6WSLB,7/1/12,0.01,6,0,,6,30 DPD,0,,,160000,5/25/07,142369.47,0.07,11/6/10,455,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.07,277000,7/21/05,9/1/05,221600,329,324,329,No PMI Insurance,Marysville,CA,95901,464,,,,,,,,,,,,,,,90 DPD,0,7/23/08,,85084,10/13/10,231676.49,0.07,3/30/10,482,Y,Y,,,N,,,5000
