LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,SUBPRIME,P,CONV,1,0.10375,77000,9/18/06,11/1/06,76500,360,308,480,No PMI Insurance,Tulsa,OK,74115,,,,,,,0,,,,,,,,,CURRENT,0,,,,,74884.12,0.10375,12/30/10,696,N,Y,,,N,,,1500
,,SF,P,SUBPRIME,C,CONV,1,0.069,115000,4/26/06,6/1/06,88147,480,424,480,No PMI Insurance,Springfield,OR,97477,663,,,,,,,,,,,,,,,CURRENT,0,,,,,85920.36,0.069,12/6/10,682,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.08,255000,9/15/06,11/1/06,199950,344,340,344,No PMI Insurance,Washington Twp,NJ,8080,624,,,,,,,,,,,,,,,FC,0,5/21/08,1/8/09,195000,10/19/10,217581,0.08,10/2/08,565,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0825,279000,4/5/06,6/1/06,251100,360,343,360,No PMI Insurance,Curtis Bay,MD,21226,691,0.0632,0.1425,0.0825,,0.015,,6,6WSLB,5/1/08,0.015,6,0,,6,90 DPD,0,,,220000,10/7/10,248345.96,0.0825,,506,N,Y,,,N,,,5000
,,PD,,SUBPRIME,P,CONV,1,0.0545,495000,8/12/03,10/1/03,240000,360,271,0,No PMI Insurance,Rancho Santa Margarita,CA,92688,794,,,,,,0,,,,,,,,,CURRENT,0,,,,,211390.99,0.0545,12/27/10,813,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0516,56000,8/23/06,10/1/06,50400,333,309,333,No PMI Insurance,Kenton,OH,43326,526,,,,,,,,,,,,,,,CURRENT,0,1/16/09,,21900,9/27/08,36209.2,0.0516,12/6/10,658,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0675,240000,9/2/05,10/1/05,190400,360,334,360,No PMI Insurance,Hialeah,FL,33015,600,0.0567,0.1275,0.0675,,0.015,,6,6WSLB,9/1/07,0.015,6,0,,6,REO,0,,3/20/08,115000,10/15/10,190147.44,0.0875,,542,N,Y,,,N,,,5000
,,PD,P,PRIME,P,PMI,1,0.06875,192000,5/14/04,7/1/04,170900,360,304,360,PMI Mortgage Ins Co,Deland,FL,32724,,,,,,,,,,,,,,,,FC,0,,8/22/09,136000,10/5/10,161644.73,0.06875,,635,N,N,,,N,,,2500
,,CO,P,SUBPRIME,P,CONV,1,0.08,110000,8/14/06,10/1/06,82500,360,311,540,No PMI Insurance,Delray Beach,FL,33444,,0.07,0.14,0.08,,0.01,0,12,6W1BD,9/1/08,0.01,12,0,,12,REPERF,0,,,30000,7/26/10,81767.04,0.08125,12/6/10,419,N,Y,,,N,,,1500
,,SF,P,SUBPRIME,C,CONV,1,0.0898,142000,7/12/06,9/1/06,142000,480,427,480,No PMI Insurance,Columbia,SC,29210,658,,,,,,,,,,,,,,,CURRENT,0,,,,,139993.1,0.0898,12/6/10,,N,Y,,,N,,,5000
,,SF,I,SUBPRIME,,CONV,1,0.0799,615000,5/12/06,7/1/06,522750,360,305,480,No PMI Insurance,Petaluma,CA,94954,725,,,,,,,,,,,,,,,CURRENT,0,,,454941,2/26/10,513057.47,0.0799,12/11/10,770,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0494,435000,5/19/06,7/1/06,348000,327,306,309,No PMI Insurance,Rockville Centre,NY,11570,632,,,,,,,,,,,,,,,30 DPD,8844.62,9/7/10,,315000,7/27/10,368914.72,0.02565,11/29/10,471,N,Y,,,N,63549.69,12/31/10,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0975,167000,9/5/06,10/1/08,150300,336,314,457,No PMI Insurance,Little Rock,AR,72211,,,,,,,,,,,,,,,,90 DPD,0,,,156000,9/27/10,148944.54,0.0975,11/5/10,598,N,Y,,,N,,,5000
,,2F,P,SUBPRIME,C,CONV,1,0.07375,365000,5/16/03,7/1/03,250000,360,287,0,No PMI Insurance,Cortlandt Manor,NY,10567,513,,,,,,0,,,,,,,,,FC,0,,11/4/09,279000,12/28/10,232837.01,0.07375,2/27/10,595,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0825,106000,4/20/06,6/1/08,95400,336,313,336,No PMI Insurance,Albany,NY,12206,793,,,,,,,,,,,,,,,90 DPD,0,,,40000,11/17/10,92005.8,0.0825,3/5/10,532,N,Y,,,N,,,5000
,,SF,S,SUBPRIME,C,PMI,1,0.085,91000,1/31/02,3/1/02,72800,360,273,0,Mgic-Premiums Paid By Trustee,Lithonia,GA,30038,513,0.075,0.155,0.085,,0.015,0,6,6W1BD,2/1/05,0.015,6,0,,6,REO,0,,1/16/10,4900,11/24/10,68953.34,0.0925,5/13/09,483,N,N,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0699,442000,8/21/06,10/1/06,375700,365,314,450,No PMI Insurance,Murrieta,CA,92562,,,,,,,,,,,,,,,,30 DPD,0,4/30/10,,192210,1/28/10,394303.46,0.02,12/30/10,577,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.088,134000,2/15/06,4/1/06,134000,360,319,360,No PMI Insurance,Conyers,GA,30013,642,0.065,0.148,0.088,,0.015,,6,6W1BD,3/1/08,0.015,6,0,,6,90 DPD,0,,,69000,9/27/10,130630.48,0.088,12/15/09,502,Y,Y,,,N,,,5000
