LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,SUBPRIME,,CONV,1,0.0488,119000,3/17/06,5/1/06,95200,325,308,325,No PMI Insurance,Dallas,TX,75232,513,,,,,,,,,,,,,,,90 DPD,0,3/10/09,,103000,11/5/10,102386.96,0.0488,8/25/10,453,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.06942,190000,3/8/06,5/1/06,142500,361,304,480,No PMI Insurance,North Las Vegas,NV,89030,530,,,,,,,,,,,,,,,CURRENT,1100,10/26/10,,34000,5/10/10,138738.91,0.02,11/8/10,551,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0865,131000,6/9/06,8/1/06,104700,361,307,370,No PMI Insurance,Mansfield,OH,44906,584,,,,,,,,,,,,,,,CURRENT,0,11/6/09,,90000,5/1/09,99246.94,0.02,12/6/10,715,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.0848,180000,5/31/06,7/1/06,144000,360,313,480,No PMI Insurance,Colorado Springs,CO,80909,452,0.055,0.1448,0.0848,,0.01,,6,6W1BD,6/1/08,0.01,6,0,,6,FC,0,,8/8/10,140000,11/16/10,141921.94,0.0848,6/19/10,414,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.079,66000,3/24/04,5/1/04,54250,360,279,360,No PMI Insurance,Ward,AR,72176,523,,,,,,,,,,,,,,,CURRENT,0,,,75900,10/8/10,50321.97,0.079,12/22/10,569,N,N,,,N,,,5000
,,SF,S,SUBPRIME,P,CONV,1,0.0795,190000,7/29/05,9/1/05,165500,360,296,360,No PMI Insurance,Palm Coast,FL,32137,704,0.0695,0.1395,0.0695,,0.01,0,6,6W1BD,8/1/07,0.01,6,0,,6,30 DPD,0,,,,,157991.56,0.0775,11/29/10,698,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0625,240000,3/9/04,5/1/04,175000,360,278,0,No PMI Insurance,Boca Raton,FL,33433,700,,,,,,0,,,,,,,,,CURRENT,0,,,,,150757.19,0.0625,12/27/10,629,N,N,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0693,216500,7/6/05,9/1/05,173000,360,330,360,No PMI Insurance,Miami,FL,33157,537,0.0693,0.1393,0.0693,,0.015,,6,6WSLB,8/1/08,0.015,6,0,,6,FC,0,,8/30/07,75000,12/1/10,168473.92,0.0693,6/30/08,534,N,N,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.075,60000,4/28/04,6/1/04,55650,320,312,320,No PMI Insurance,Lexa,AR,72355,534,,,,,,0,,,,,,,,,FC,0,12/3/08,10/3/09,69000,9/15/10,57252.93,0.075,6/22/09,494,N,N,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.0914,85000,7/28/06,9/1/06,68000,360,312,360,No PMI Insurance,Houston,TX,77053,640,0.067,0.1614,0.0914,,0.015,,6,6W1BD,8/1/08,0.015,6,0,,6,90 DPD,0,,,63000,12/1/10,65999.18,0.0914,7/23/10,497,N,Y,,,N,,,5000
,,PD,P,SUBPRIME,C,CONV,2,0.0925,315000,6/7/06,8/1/06,61600,360,306,480,No PMI Insurance,Parker,CO,80134,701,,,,,,,,,,,,,,,CURRENT,0,,,,,60803.98,0.0925,12/13/10,715,N,Y,253449.44,6/2/08,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.08,94000,12/26/06,2/1/07,84600,360,332,480,No PMI Insurance,Chillicothe,OH,45601,569,0.0605,0.15,0.08,,0.015,,6,6W1BD,1/1/09,0.015,6,0,,6,FC,0,,2/20/10,84966,4/24/09,83888.88,0.08625,4/4/09,498,N,Y,,,N,,,5000
,,SF,P,ALT A,,PMI,1,0.065,250000,6/8/07,8/1/07,223500,360,318,360,Radian Guaranty Inc,Ava,MO,65608,751,0.0225,0.115,0.0225,,0.01,,6,6WSLB,7/1/14,0.01,6,0,,6,CURRENT,0,,,250000,5/23/07,248522.52,0.065,12/21/10,692,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.067,250000,4/13/05,6/1/05,112000,360,332,0,No PMI Insurance,Hollywood,FL,33023,589,,,,,,0,,,,,,,,,FC,0,,12/18/07,165000,8/26/10,109071.26,0.067,8/9/07,520,N,Y,,,N,,,5000
