LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,SUBPRIME,,CONV,2,0.07,355000,3/16/06,5/1/06,71000,331,305,331,No PMI Insurance,Perris,CA,92571,771,,,,,,,,,,,,,,,30 DPD,0,9/9/08,,125000,7/28/10,51275.08,0.07,12/30/10,642,N,Y,149408.63,12/31/10,Y,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0625,238000,4/8/05,6/1/05,100000,360,292,360,No PMI Insurance,New Smyrna Beach,FL,32169,514,,,,,,,,,,,,,,,CURRENT,0,,,,,90152.45,0.0625,12/1/10,714,N,Y,,,N,,,5000
,,SF,P,PRIME,,CONV,1,0.0575,690000,3/13/06,5/1/06,502500,360,312,360,No PMI Insurance,Fontana,CA,92336,782,0.0225,0.1075,0,,0.01,,6,6W1BD,4/1/11,0.01,6,0,,6,90 DPD,0,,,320000,10/7/10,497996.43,0.0575,10/23/10,622,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.08035,133000,11/30/06,1/1/07,106400,360,311,480,No PMI Insurance,Farmersville,TX,75442,,,,,,,,,,,,,,,,CURRENT,0,,,,,104698.51,0.08035,12/10/10,703,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.07299,86000,4/7/05,6/1/05,73100,360,293,360,No PMI Insurance,Knightstown,IN,46148,547,,,,,,,,,,,,,,,30 DPD,0,,,79900,11/29/10,68529.5,0.07299,11/16/10,528,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.05875,900000,8/5/05,10/1/05,572000,360,296,360,No PMI Insurance,Sebastopol,CA,95472,818,,,,,,,,,,,,,,,CURRENT,0,,,761908,8/6/09,569257.84,0.05875,12/10/10,808,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0699,276000,10/16/06,12/1/06,220800,360,310,322,No PMI Insurance,Longmont,CO,80501,629,,,,,,,,,,,,,,,CURRENT,0,1/11/10,,210000,9/24/09,216921.34,0.0324,12/10/10,595,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0426,207000,3/7/06,5/1/06,109710,327,303,349,No PMI Insurance,Orlando,FL,32826,507,,,,,,,,,,,,,,,CURRENT,252.08,6/11/10,,85000,2/24/10,120800.78,0.02,12/25/10,470,N,Y,,,N,,,5000
,,2F,I,ALT A,,CONV,1,0.07375,400000,2/13/06,4/1/06,300000,362,303,480,No PMI Insurance,Chicago,IL,60641,716,,,,,,,,,,,,,,,CURRENT,102300,11/4/10,,210000,7/24/10,216651.67,0.02,12/31/10,563,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.084,142000,11/10/06,1/1/07,134900,360,310,315,No PMI Insurance,San Antonio,TX,78223,559,,,,,,,,,,,,,,,CURRENT,0,9/22/10,,108000,7/13/10,139565.05,0.04275,12/1/10,455,N,Y,,,N,,,5000
