LoanID,Property,Occupancy,CITY,STATE,ZIP,FICO,Current_FICO_Score,Current_Interest_Rate,Original_Amount,Original_Term,Original_Appraisal_Amount,Remaining_Term,Amor_Term,Current_Principal_Balance
5360325,CO,AB,Richmond,VA,23295,546,580,0.09819309582535998,203000,180,232000,124,180,167805.362401
5360565,CO,AB,Augusta,GA,30910,560,594,0.0766177829227418,569750,300,609000,208,300,490864.147625
5361517,CO,AB,Charleston,SC,29401,495,521,0.04392449517006015,138250,300,171000,254,300,125551.145552
5362383,CO,AB,Washington,DC,20504,491,478,0.09645256785306114,341750,240,425000,232,240,337872.994077
5362910,CO,AB,Lindale,TX,75771,590,622,0.060841449822830795,388250,180,435000,116,180,288334.97198
5363158,CO,AB,Mont Vernon,NH,03057,575,539,0.06596139858886205,133750,180,145000,174,180,131091.752805
5363811,CO,AB,Cartersville,VA,23027,535,545,0.10187396504485459,78250,240,103000,155,240,65794.0807317
5364327,CO,AB,Huntingburg,IN,47542,600,649,0.09381830307025216,304500,300,366000,290,300,301860.491596
5364538,CO,AB,Somerset,PA,15501,499,545,0.06403324693745396,331750,300,437000,262,300,312859.178376
5365359,CO,AB,Spokane,WA,99206,690,696,0.03993841249447599,131500,240,174000,162,240,99607.2146802
5366251,CO,AB,Highland Home,AL,36041,701,700,0.10485417989197914,229500,240,286000,189,240,211368.250294
5366534,CO,AB,Washington,DC,20261,686,643,0.044570880776328405,529250,300,615000,290,300,519456.362984
5366767,CO,AB,Kinston,NC,28501,499,497,0.09608248143169076,520500,240,606000,162,240,442810.359108
5367008,CO,AB,Wolsey,SD,57384,626,668,0.09218779419187753,175000,240,192000,240,240,175000.0
5367457,CO,AB,Monon,IN,47959,621,638,0.05795284059605234,472500,240,510000,149,240,353129.613752
5368187,CO,AB,Palestine,WV,26160,568,552,0.05807066862520316,455000,240,596000,147,240,337022.061279
5368971,CO,AB,Marshall,WI,53559,637,672,0.11201578366369543,149750,240,153000,148,240,125374.112433
5370023,CO,AB,Jasper,OH,45642,486,520,0.06599268835820488,339250,180,347000,112,180,248175.852512
5370705,CO,AB,Marianna,FL,32447,584,611,0.10287109499503992,512000,180,612000,148,180,467918.439842
5371514,CO,AB,Brant Lake,NY,12815,712,694,0.07568230929752275,150000,240,188000,209,240,140834.547876
5371795,CO,AB,Belpre,KS,67519,626,609,0.09731157404898132,564250,240,611000,181,240,506334.734341
5372104,CO,AB,Cincinnati,OH,45242,642,610,0.07422082300269192,462750,300,521000,181,300,369235.140341
5372829,CO,AB,Bullville,NY,10915,610,562,0.08808932306118014,422500,300,526000,207,300,370870.338268
5373341,CO,AB,Friedheim,MO,63747,786,746,0.054450932884752695,506750,300,565000,244,300,456136.544856
5374153,CO,AB,Three Oaks,MI,49128,681,674,0.1028299871878725,211250,240,255000,191,240,195007.646612
5374694,CO,AB,Seaman,OH,45679,743,702,0.11338551782000217,292500,300,306000,251,300,281662.697479
5375227,CO,AB,Shelby,NC,28152,710,724,0.05870830747851265,191000,240,252000,240,240,191000.0
5375858,CO,AB,Burlington,IA,52601,621,591,0.10670621564912917,99250,180,123000,117,180,80349.2370496
5376486,CO,AB,Seville,GA,31084,792,799,0.05053267684138338,74000,180,96000,131,180,59034.8679203
5377359,CO,AB,Dickinson,AL,36436,750,783,0.04796798225574745,378750,180,469000,152,180,336141.298134
5378211,CO,AB,Mill Creek,OK,74856,572,601,0.06651636602010587,261750,180,309000,115,180,195367.448621
5378668,CO,AB,Stratton,NE,69043,732,752,0.05182686682758014,458250,300,475000,186,300,348261.914641
5378885,CO,AB,Gambrills,MD,21054,498,496,0.08484417666245397,171500,300,206000,201,300,147731.24529
5379846,CO,AB,Englewood,FL,34295,766,775,0.05529817705817616,425500,240,546000,154,240,323064.02212
5380563,CO,AB,Waterville,MN,56096,593,579,0.08252490295913902,219000,300,268000,181,300,178495.680123
5381044,CO,AB,Sioux City,IA,51103,535,525,0.09026370123070951,129250,180,139000,152,180,118673.82254
5381974,CO,AB,Saulsbury,TN,38067,782,771,0.04123219983147077,176250,300,203000,269,300,165254.474185
5382463,CO,AB,Rarden,OH,45671,588,636,0.11206129698022861,499750,180,533000,177,180,496485.371053
5383072,CO,AB,Climax,NY,12042,662,687,0.06777605150999377,322000,180,420000,142,180,278238.847859
5383882,CO,AB,Acton,MA,01720,526,563,0.0628755919555595,384000,180,420000,108,180,271669.964025
5384823,CO,AB,Alice,TX,78333,491,510,0.07415196917393549,95000,300,112000,199,300,79669.0266867
5385790,CO,AB,Greenbush,MN,56726,539,520,0.04622732942246992,242500,180,318000,156,180,219007.646079
5386217,CO,AB,Chula,MO,64635,752,707,0.08089039857772228,486500,180,582000,136,180,415330.758765
5386638,CO,AB,Decatur,IL,62526,650,613,0.05961188088911547,75250,300,83000,270,300,71725.5183461
5387658,CO,AB,Stony Brook,NY,11790,562,558,0.0876592244960783,447750,300,465000,216,300,399835.469953
5387917,CO,AB,Ferguson,KY,42533,699,737,0.09713622182086076,409500,180,482000,137,180,357581.627713
5388824,CO,AB,Drexel Hill,PA,19026,662,645,0.09548015853678092,59000,240,72000,214,240,56631.333298
5389807,CO,AB,Sioux Falls,SD,57104,604,561,0.09093595185815875,281750,240,341000,168,240,242026.258648
5390622,CO,AB,Westlake Village,CA,91359,558,595,0.08016138910872878,532000,180,552000,154,180,488566.506091
5390811,CO,AB,Alsip,IL,60803,657,636,0.03858438103690212,383000,300,484000,231,300,324368.467639
5391514,CO,AB,Floral Park,NY,11002,724,719,0.07942965620680455,131750,240,153000,234,240,130375.837148
5391956,CO,AB,San Diego,CA,92172,532,563,0.08922668654506064,118000,300,148000,289,300,116782.650144
5392380,CO,AB,Valley Lee,MD,20692,743,724,0.07982695551575053,193500,180,198000,168,180,186528.043248
5392742,CO,AB,Mooresburg,TN,37811,761,732,0.09347152132436859,110500,180,114000,167,180,106644.300564
5393867,CO,AB,Dime Box,TX,77853,520,497,0.05585983622631103,503500,240,550000,183,240,429004.963441
5394602,CO,AB,Castro Valley,CA,94552,576,579,0.05086479112929117,277500,180,290000,135,180,226517.182571
5395444,CO,AB,Hobbs,NM,88244,671,645,0.03862016200953587,316500,240,370000,188,240,266979.091683
