bank_loan_id,property_type_code,occupancy_code,city,us_state,zipcode,fico,current_FICO_score,current_interest_rate,original_amount,original_term,original_appraisal_amount,remaining_term,amortized_term,current_principal_balance
586120,CO,AB,Fort Collins,CO,80526,774,802,0.06562338908694121,484750,300,597000,259,300,455376.294039
587247,CO,AB,The Colony,TX,75056,668,713,0.06136538090134525,287750,240,349000,229,240,280834.515765
588270,CO,AB,Northampton,MA,01060,761,797,0.041143525382410825,62000,300,80000,234,300,53231.9352569
589248,CO,AB,East Palatka,FL,32131,493,455,0.05223346000918984,404000,180,468000,173,180,393479.04683
589586,CO,AB,Monticello,MN,55584,730,702,0.05885165350609972,357500,300,418000,261,300,334993.900568
590537,CO,AB,College Park,MD,20741,527,491,0.05547607277910334,169500,180,178000,116,180,124514.76402
591122,CO,AB,Wellsboro,PA,16901,562,554,0.10421169007974976,296250,300,335000,220,300,272394.637723
591356,CO,AB,Buckhorn,NM,88025,509,516,0.08534400021174612,181000,300,216000,299,300,180825.612663
591623,CO,AB,Painesville,OH,44077,769,733,0.08634159835714197,165250,180,195000,146,180,147935.886051
591879,CO,AB,San Francisco,CA,94121,709,699,0.10555706769090396,201750,300,217000,245,300,192025.129754
592097,CO,AB,Macon,GA,31294,542,530,0.0781987999828915,455250,180,599000,120,180,357490.797848
592557,CO,AB,Washington,DC,20536,688,661,0.1128094654135845,142250,300,159000,258,300,137849.350599
593192,CO,AB,Shattuck,OK,73858,508,508,0.04217619241231962,388500,240,418000,170,240,306635.4127
593567,CO,AB,Brainardsville,NY,12915,758,732,0.08237772623586354,383250,300,411000,203,300,330065.635491
594308,CO,AB,Framingham,MA,01702,730,681,0.10297136864664148,398000,300,436000,192,300,347619.619851
594515,CO,AB,Crested Butte,CO,81225,693,686,0.055402892067939497,393500,180,458000,145,180,340190.326404
595292,CO,AB,Golden,CO,80401,741,751,0.08183601396552227,154000,240,176000,200,240,142293.834989
596245,CO,AB,Bryant,AR,72089,731,757,0.1102869997793989,147500,240,186000,233,240,146278.489659
596513,CO,AB,Milton,FL,32572,771,774,0.09344436099926032,448750,240,501000,144,240,357442.83112
596856,CO,AB,Corpus Christi,TX,78414,618,643,0.08162314868615869,474000,240,520000,206,240,443947.027454
597439,CO,AB,Chester,VT,05143,689,713,0.08127117149409394,181750,300,213000,256,300,172191.996907
597805,CO,AB,Minneapolis,MN,55470,754,795,0.11390791983757458,489500,240,574000,148,240,411166.476681
598462,CO,AB,Cherryville,MO,65446,618,606,0.040834802540511785,58500,180,78000,110,180,39874.2119376
599317,CO,AB,Euclid,OH,44132,601,579,0.09097734731933713,546500,300,602000,250,300,517475.088478
599841,CO,AB,Broken Arrow,OK,74011,752,756,0.06834310576829589,341250,240,351000,237,240,339233.454123
600473,CO,AB,Cumberland,OH,43732,721,693,0.10667565440342291,340000,240,364000,169,240,299627.787283
600901,CO,AB,Coulterville,CA,95311,626,589,0.057637088371286255,173750,240,201000,158,240,135002.023578
601283,CO,AB,Ragley,LA,70657,749,712,0.09469352998513364,408250,300,515000,251,300,388207.89588
601516,CO,AB,Peoria,IL,61630,609,575,0.08096954268128201,182750,300,233000,235,300,167381.362236
602613,CO,AB,Pinecrest,CA,95364,622,657,0.043783682051708614,492500,300,546000,199,300,382020.496242
603467,CO,AB,Vestal,NY,13850,512,482,0.08708481183510657,391250,180,499000,124,180,318237.107566
604278,CO,AB,North Platte,NE,69103,698,684,0.08793075685045197,477000,300,504000,274,300,464438.159116
604781,CO,AB,Rockbridge Baths,VA,24473,663,653,0.08114236116464879,132000,300,172000,273,300,127979.160611
605445,CO,AB,Woodland Hills,CA,91365,642,628,0.08746636112528977,172750,300,213000,237,300,159958.208482
605865,CO,AB,Halifax,PA,17032,795,764,0.05771042104685892,229250,180,243000,173,180,223541.641215
606965,CO,AB,Whippany,NJ,07981,683,655,0.06547787789877123,151250,240,183000,218,240,144102.877643
608080,CO,AB,Washington,ME,04574,582,541,0.044796122368904484,325500,240,414000,227,240,314324.077467
609181,CO,AB,Springfield,IL,62719,601,592,0.07852778313465993,419750,180,489000,150,180,379160.686922
609778,CO,AB,Otis,MA,01253,717,724,0.055873201761180255,480500,300,506000,233,300,422586.888108
610726,CO,AB,Manns Choice,PA,15550,544,583,0.043769106988223824,325750,180,385000,126,180,249305.380927
611735,CO,AB,Florence,AL,35631,561,550,0.054922027465802825,441000,240,500000,190,240,384216.854019
612326,CO,AB,Riverdale,NE,68870,795,817,0.110326874270913,138500,240,182000,213,240,133642.955496
613346,CO,AB,Wolcottville,IN,46795,667,630,0.11090943071850948,392250,180,415000,179,180,391394.624808
613643,CO,AB,Fredericktown,OH,43019,514,561,0.08082379975785409,386500,300,486000,237,300,355161.208916
614216,CO,AB,Lawson,AR,71750,539,539,0.09302302613720043,348500,240,454000,160,240,293138.202655
615191,CO,AB,Oakland,CA,94622,760,797,0.05792492614320571,209500,240,270000,231,240,205236.223347
616072,CO,AB,Norman,OK,73026,713,727,0.10941874043497576,447750,300,461000,270,300,437899.639242
617105,CO,AB,Waco,TX,76703,751,722,0.0625823538360911,580000,240,600000,230,240,567536.754117
617754,CO,AB,Lodi,NJ,07644,592,639,0.10793747625819403,256500,300,266000,292,300,255107.364482
618558,CO,AB,Panama City,FL,32411,529,542,0.08215962902587778,424500,300,458000,256,300,402460.885383
618952,CO,AB,Mapleville,RI,02839,775,773,0.0960958269147465,358250,180,375000,178,180,356451.227978
619180,CO,AB,White Pigeon,MI,49099,647,660,0.09500243997450278,119750,240,125000,189,240,109231.874767
619701,CO,AB,Dell,AR,72426,581,552,0.10476623463423637,346500,180,418000,116,180,278296.578331
619914,CO,AB,Vickery,OH,43464,663,675,0.051884442526297356,501500,300,574000,254,300,459932.290172
620302,CO,AB,Mc Cormick,SC,29899,620,623,0.09220978469385212,308500,180,386000,109,180,233412.961496
620987,CO,AB,Inglewood,CA,90310,581,552,0.08720306624051502,280750,300,317000,246,300,263479.052985
622080,CO,AB,San Bernardino,CA,92404,646,684,0.07808218865810135,66750,240,85000,224,240,64799.7582962
622868,CO,AB,Durham,NC,27703,788,834,0.0658416836238026,185250,240,207000,230,240,181416.927261
623216,CO,AB,Sneedville,TN,37869,746,784,0.049774568342647166,207250,240,275000,202,240,186489.627019
623945,CO,AB,Lake Crystal,MN,56055,701,658,0.045498214687691683,314750,240,353000,237,240,312321.741642
624802,CO,AB,Waimanalo,HI,96795,693,706,0.050907336073938825,579750,300,613000,296,300,575883.811157
625924,CO,AB,Dillingham,AK,99576,737,709,0.09250080327059079,286500,180,382000,127,180,238269.727339
626522,CO,AB,Eagle Pass,TX,78852,767,725,0.055272017359983064,323500,180,358000,109,180,226515.15622
