LoanID,Property,Occupancy,CITY,STATE,ZIP,FICO,Current_FICO_Score,Current_Interest_Rate,Original_Amount,Original_Term,Original_Appraisal_Amount,Remaining_Term,Amor_Term,Current_Principal_Balance
873723,CO,AB,Enosburg Falls,VT,05450,560,526,0.10274648740266996,96000,180,104000,161,180,91361.7963525
874455,CO,AB,Birmingham,AL,35282,721,754,0.0871275507640494,228000,180,260000,167,180,219602.344993
874714,CO,AB,Delta Junction,AK,99737,517,506,0.03869245977996256,391000,180,424000,158,180,354448.023741
875098,CO,AB,Birchleaf,VA,24220,696,674,0.09105989549889225,323250,180,411000,128,180,269554.467004
875626,CO,AB,Normalville,PA,15469,689,688,0.09154704761145369,328500,300,338000,246,300,309507.783227
875988,CO,AB,Heath,OH,43056,640,614,0.08013853974729643,217500,300,234000,187,300,179179.36951
876523,CO,AB,Bay Shore,NY,11706,735,702,0.08733525330936576,358500,300,410000,204,300,312299.534196
877070,CO,AB,Napoleonville,LA,70390,591,614,0.09682483751546302,103750,240,121000,168,240,89925.9641535
877698,CO,AB,Dardanelle,AR,72834,563,534,0.08178869656208956,172250,300,179000,191,300,143941.71765
878363,CO,AB,Denver,CO,80279,484,482,0.10305203794880949,589750,300,617000,257,300,567917.980471
879336,CO,AB,Eagle,ID,83616,696,730,0.11237139440665307,464000,240,556000,188,240,429406.256039
880342,CO,AB,New York,NY,10114,617,590,0.07270364940773283,302250,180,395000,152,180,273922.108578
880807,CO,AB,Randalia,IA,52164,575,578,0.05403252490057385,103750,240,109000,189,240,89975.3945227
881599,CO,AB,Elmwood Park,IL,60707,505,503,0.08825401019141668,401500,240,526000,151,240,324644.016484
882163,CO,AB,Seattle,WA,98178,653,673,0.07421978790859318,476500,300,494000,250,300,444388.599631
882779,CO,AB,Fair Bluff,NC,28439,725,735,0.065813450280137,530250,180,591000,162,180,497527.065459
883562,CO,AB,Utica,KY,42376,599,556,0.04526260363723314,229000,240,252000,155,240,170182.56902
884487,CO,AB,Saint Paul,MN,55161,602,556,0.11324434116326547,313500,240,386000,160,240,272328.37888
885169,CO,AB,Phoenix,AZ,85062,606,599,0.07268191309191416,364250,180,459000,114,180,273491.765432
885856,CO,AB,Grottoes,VA,24441,720,678,0.04788278688599196,535250,180,583000,147,180,463514.382601
886798,CO,AB,Northport,AL,35475,517,475,0.09457791439740881,133500,240,142000,215,240,128312.603619
887630,CO,AB,Lanse,MI,49946,633,606,0.06220780883472784,225750,180,257000,162,180,211417.199812
888357,CO,AB,Scranton,PA,18514,562,538,0.03843018099109891,111500,240,130000,223,240,106103.257749
889153,CO,AB,Dailey,WV,26259,548,578,0.06590889728822885,366750,180,417000,161,180,342811.081179
890046,CO,AB,Washington,DC,20538,488,507,0.05672799303745581,132250,240,175000,162,240,104268.011734
891162,CO,AB,Richmond,TX,77406,672,661,0.0966928595825921,436500,300,482000,209,300,390044.239836
891408,CO,AB,Brownsburg,IN,46112,569,542,0.0902992129818195,192750,180,249000,141,180,169823.730679
892313,CO,AB,Winn,ME,04495,521,472,0.04418317112079988,248250,300,315000,235,300,214953.97503
892696,CO,AB,Counce,TN,38326,543,588,0.10154086973569758,263000,300,336000,185,300,225686.653685
893197,CO,AB,Tofte,MN,55615,688,702,0.09270495999340994,382750,240,473000,222,240,372101.855191
893746,CO,AB,Cherry Valley,MA,01611,620,640,0.07688035846859789,276750,300,369000,263,300,264016.148757
893913,CO,AB,Midland,TX,79708,720,758,0.06997584335576779,126250,300,155000,240,300,115088.648109
894213,CO,AB,Cambridge,MA,02140,688,666,0.08733622789755416,174750,300,201000,185,300,145596.369453
894431,CO,AB,Stevenson,CT,06491,543,559,0.04290665438088008,315000,180,416000,119,180,229973.839848
894917,CO,AB,Broadway,NJ,08808,578,604,0.09053516408480655,463750,300,617000,234,300,428849.313207
895971,CO,AB,Zahl,ND,58856,762,766,0.06421247012464491,395000,240,476000,166,240,321417.598385
896639,CO,AB,Louviers,CO,80131,765,716,0.08495353220534171,148250,300,195000,237,300,136886.647066
