LoanID,Property,Occupancy,CITY,STATE,ZIP,FICO,Current_FICO_Score,Current_Interest_Rate,Original_Amount,Original_Term,Original_Appraisal_Amount,Remaining_Term,Amor_Term,Current_Principal_Balance
589915,CO,AB,Azusa,CA,91702,662,671,0.10699226498439138,298000,300,348000,254,300,286733.592728
591007,CO,AB,Scio,OR,97374,524,493,0.045234627557937626,260750,300,345000,195,300,200357.732305
591936,CO,AB,Baton Rouge,LA,70803,565,527,0.06374387209810659,308750,300,385000,214,300,263066.895926
592235,CO,AB,Saint Joseph,IL,61873,757,798,0.11139009861010002,310750,180,329000,111,180,245936.891809
592842,CO,AB,Dumont,TX,79232,502,484,0.05502044860317745,235000,240,240000,147,240,172627.941975
593927,CO,AB,Tacoma,WA,98447,608,582,0.06613712899819564,114000,180,140000,122,180,88665.0104464
594590,CO,AB,Cortlandt Manor,NY,10567,503,469,0.055261276799174815,59500,300,70000,213,300,49649.8387976
595651,CO,AB,Bryantown,MD,20617,667,625,0.10456905620420957,240250,300,271000,219,300,220662.278139
596776,CO,AB,Nashville,TN,37250,500,543,0.10120506162235067,118000,180,140000,151,180,108793.163232
597587,CO,AB,Waukesha,WI,53189,603,643,0.05117239953604249,347750,240,365000,167,240,276448.482482
597912,CO,AB,Pemberville,OH,43450,667,682,0.058574720501340785,215500,300,266000,257,300,200333.215833
599012,CO,AB,Stevenson Ranch,CA,91381,737,758,0.09087199658428716,54500,180,70000,176,180,53921.8920113
599175,CO,AB,Tucson,AZ,85704,774,733,0.08158681875907672,356000,240,392000,221,240,344024.94433
600170,CO,AB,West River,MD,20778,541,568,0.10260457855924207,224250,300,291000,228,300,208255.659965
600605,CO,AB,Morgan,TX,76671,770,765,0.08733244706510358,267000,180,324000,109,180,200127.429257
601638,CO,AB,Faribault,MN,55021,776,760,0.08842294260773076,314500,300,338000,275,300,306626.602886
602025,CO,AB,Panama City,FL,32405,722,715,0.07937143990745675,312500,240,358000,210,240,294821.213657
602539,CO,AB,Eastview,KY,42732,619,643,0.05610288303249189,300000,180,348000,174,180,293527.130267
603646,CO,AB,White Plains,NY,10606,693,690,0.05392661054605337,213500,180,230000,121,180,161415.603675
604382,CO,AB,Bruning,NE,68322,665,699,0.1005414482533975,85750,180,105000,164,180,82240.880697
605258,CO,AB,Shasta Lake,CA,96019,681,714,0.0960513884825499,512000,180,608000,166,180,493105.812672
605837,CO,AB,Delano,PA,18220,543,567,0.11191229590962093,120500,300,130000,275,300,118428.863548
606347,CO,AB,Dix,NE,69133,529,556,0.0466265106826442,350000,240,428000,156,240,262274.992848
607111,CO,AB,Brawley,CA,92227,717,761,0.11319751742960295,276750,240,361000,193,240,258731.078587
608190,CO,AB,Romeo,MI,48065,720,719,0.047298481322307816,544750,180,569000,156,180,492389.357236
