LoanID,Property,Occupancy,CITY,STATE,ZIP,FICO,Current_FICO_Score,Current_Interest_Rate,Original_Amount,Original_Term,Original_Appraisal_Amount,Remaining_Term,Amor_Term,Current_Principal_Balance
2154749,CO,AB,Flatonia,TX,78941,723,751,0.06745637570531719,439500,240,554000,198,240,398412.216932
2155493,CO,AB,Cedar Rapids,IA,52409,684,653,0.076668509153202,454500,180,506000,161,180,427266.744576
2155920,CO,AB,Union Center,WI,53962,731,715,0.09127571421976291,451000,240,496000,234,240,446937.054657
2156610,CO,AB,Manassa,CO,81141,551,561,0.05773805525676771,345500,180,410000,148,180,303710.517924
2157615,CO,AB,El Paso,TX,79929,698,747,0.10968531273247864,399750,240,481000,232,240,395919.336288
2158266,CO,AB,Franklin,TN,37067,753,784,0.04801283647629544,456250,180,575000,142,180,385178.477443
2158885,CO,AB,Swengel,PA,17880,663,691,0.09894210818787218,267000,300,340000,277,300,261834.501911
2159680,CO,AB,Hydaburg,AK,99922,626,589,0.10976306142166,511000,300,600000,186,300,446096.246931
2160478,CO,AB,Stittville,NY,13469,500,496,0.07402931208004276,245250,240,315000,189,240,218482.581162
2161151,CO,AB,Hiawatha,IA,52233,671,636,0.10352920467084946,67000,300,76000,229,300,62369.8742874
2161745,CO,AB,Birmingham,AL,35287,584,534,0.04399261509051407,246750,300,293000,297,300,245386.47034
2161983,CO,AB,Cleo Springs,OK,73729,644,605,0.10798053298012071,444250,180,539000,133,180,386324.510326
2163012,CO,AB,Rillito,AZ,85654,594,562,0.05520367304165072,191500,180,230000,170,180,184498.001717
2163218,CO,AB,Detroit,MI,48266,521,513,0.090347099426209,189000,240,236000,237,240,188148.410648
2163386,CO,AB,Tivoli,TX,77990,591,574,0.04043339368538975,551750,180,577000,141,180,458801.923549
2164176,CO,AB,Hyannis,NE,69350,576,558,0.10125412493661731,148000,180,196000,128,180,125077.324043
2164472,CO,AB,Balm,FL,33503,659,612,0.05469915228997366,182500,180,234000,170,180,175799.887644
2165432,CO,AB,Pensacola,FL,32509,545,550,0.05587669827797132,487750,180,509000,176,180,480753.735042
2166272,CO,AB,Dulles,VA,20104,563,592,0.0985150218064409,90250,240,111000,235,240,89634.190187
2167269,CO,AB,Rochester,NY,14606,585,586,0.07856524811239946,89500,240,98000,164,240,74330.993592
2167981,CO,AB,El Paso,TX,88527,715,729,0.040235550141577155,443500,240,474000,155,240,325118.466659
2168547,CO,AB,La Grange Park,IL,60526,501,485,0.09414939397550254,244750,240,285000,197,240,227056.564968
2168794,CO,AB,Ovid,CO,80744,739,771,0.06713087373535065,521500,180,614000,178,180,518117.082033
2169575,CO,AB,Thousand Island Park,NY,13692,602,567,0.11331155562303831,407750,300,449000,219,300,378245.777867
2170121,CO,AB,Cluster Springs,VA,24535,493,499,0.05522686404767771,162500,300,174000,201,300,130958.716965
2170590,CO,AB,Independence,OH,44131,482,471,0.09747699799194401,102250,180,111000,141,180,90719.9526559
2171011,CO,AB,Kekaha,HI,96752,590,559,0.10950565104193885,94000,180,96000,149,180,86597.3220117
2171802,CO,AB,Piercefield,NY,12973,512,516,0.09918773968732261,524750,240,549000,199,240,490833.410764
2172261,CO,AB,Morrow,OH,45152,633,657,0.10460150198733709,141500,180,182000,135,180,123563.795353
2173067,CO,AB,Germantown,TN,38183,730,778,0.09788564328658796,164500,180,206000,166,180,158524.368302
2173443,CO,AB,Racine,MN,55967,547,595,0.07598085818790978,86000,300,104000,280,300,83949.3775958
2174102,CO,AB,Deadwood,SD,57732,480,506,0.04749679324529524,397750,240,437000,154,240,295951.796598
2174997,CO,AB,Sun Valley,ID,83354,587,593,0.10615495898791191,159250,300,163000,199,300,141742.744168
2176011,CO,AB,Grantsburg,IL,62943,600,553,0.07014907071228577,508000,300,572000,198,300,421078.469492
2177050,CO,AB,Kincheloe,MI,49786,562,591,0.0668745214945195,215000,240,284000,196,240,193693.791496
2178122,CO,AB,New York,NY,10011,623,616,0.06780788798016896,359000,180,444000,119,180,275203.778006
