bank_loan_id,property_type_code,occupancy_code,city,us_state,zipcode,fico,current_FICO_score,current_interest_rate,original_amount,original_term,original_appraisal_amount,remaining_term,amortized_term,current_principal_balance
586207,CO,AB,Luke,MD,21540,541,587,0.07494377810272819,529000,180,544000,173,180,517599.129826
587295,CO,AB,Mayetta,KS,66509,635,629,0.1013166654150318,362000,180,416000,156,180,339149.511762
587453,CO,AB,Johnson City,TN,37614,648,607,0.07146190676991496,243500,240,294000,202,240,223983.20876
587898,CO,AB,Langley,AR,71952,707,681,0.08808384087317868,411500,240,446000,230,240,404974.629267
588235,CO,AB,Kensett,IA,50448,574,592,0.04905088212533318,305250,300,383000,187,300,230770.423875
589021,CO,AB,Wetmore,MI,49895,709,735,0.10005188262491337,401750,240,481000,154,240,335657.774076
589706,CO,AB,Midland,TX,79705,497,504,0.07361862151875884,126000,180,164000,149,180,112892.852418
590010,CO,AB,Blue Mountain,AR,72826,606,596,0.1001730312298437,424250,180,467000,128,180,358046.635234
590996,CO,AB,Cameron,WV,26033,736,751,0.10573012570188282,321000,300,424000,218,300,294790.281605
591543,CO,AB,Sunburst,MT,59482,776,788,0.04453187231544745,76500,180,98000,129,180,59718.5231388
591820,CO,AB,Glenmora,LA,71433,497,515,0.056243786775827524,454250,180,571000,122,180,347058.92481
592599,CO,AB,Catron,MO,63833,660,681,0.054839424617065764,264750,180,293000,117,180,195497.688198
593557,CO,AB,Pocomoke City,MD,21851,633,655,0.07394295164469,430250,240,571000,231,240,422988.541135
594199,CO,AB,Miami,FL,33172,780,819,0.048530589032106004,155000,300,196000,221,300,130295.607687
594499,CO,AB,Kimball,NE,69145,790,760,0.05683637487267232,494250,240,607000,233,240,486365.872203
594725,CO,AB,Buffalo,IA,52728,517,526,0.10104365859012517,266500,240,274000,169,240,233044.528673
595562,CO,AB,East Tawas,MI,48730,609,565,0.08422289585187062,425750,300,461000,186,300,353145.46409
596518,CO,AB,Buxton,OR,97109,718,695,0.07585193855988767,278750,180,321000,130,180,229794.818672
596723,CO,AB,Hilton Head Island,SC,29938,640,686,0.056394451825737046,134750,180,157000,134,180,110280.934108
597376,CO,AB,Rock Creek,OH,44084,518,486,0.04025332116453602,484500,180,610000,132,180,382362.393713
597901,CO,AB,Huntington,WV,25708,683,673,0.07683582480962042,211750,240,237000,223,240,205058.162547
598677,CO,AB,Austin,TX,78747,529,572,0.0803511427515107,66000,180,84000,149,180,59473.533684
599355,CO,AB,Mccammon,ID,83250,592,570,0.0960925864758547,342500,180,446000,169,180,332692.7331
600140,CO,AB,Tallmadge,OH,44278,696,675,0.08372660184684927,257250,180,343000,109,180,191455.642378
600561,CO,AB,Notre Dame,IN,46556,721,690,0.04043114696867827,313500,240,338000,163,240,238864.31123
601207,CO,AB,Mount Victoria,MD,20661,599,643,0.05985770146437425,190250,240,239000,163,240,151645.739946
601458,CO,AB,San Jose,CA,95132,561,604,0.07017877164230445,146250,300,167000,299,300,146069.970718
601789,CO,AB,Grand Ridge,FL,32442,481,445,0.10961155413949245,417500,180,462000,157,180,394032.187765
602235,CO,AB,Hamilton City,CA,95951,669,640,0.04913662792676342,116000,180,120000,120,180,86338.2622918
602623,CO,AB,San Jose,CA,95115,631,587,0.10839241441783222,416250,300,491000,278,300,409673.095803
603315,CO,AB,San Pablo,CO,81153,572,616,0.1032091358000272,379000,300,480000,258,300,365390.89902
603808,CO,AB,Reed,KY,42451,720,748,0.11017381646660489,480750,180,505000,179,180,479694.400401
603963,CO,AB,Tutor Key,KY,41263,648,613,0.11373813756183078,382500,240,446000,154,240,327010.420292
604982,CO,AB,Tulsa,OK,74127,686,673,0.10285481744632734,380000,180,428000,126,180,318999.920498
606018,CO,AB,Gray Mountain,AZ,86016,782,806,0.07596174994145077,154500,240,202000,159,240,125438.802268
606239,CO,AB,Phoenix,AZ,85072,755,711,0.07448370893325212,116250,180,147000,115,180,88117.0626567
606978,CO,AB,Summerville,OR,97876,692,739,0.06641713691285925,150750,180,185000,173,180,147258.236204
607942,CO,AB,Baton Rouge,LA,70816,733,763,0.11345560440130119,213750,300,257000,181,300,185873.323675
608923,CO,AB,Melbourne,IA,50162,511,512,0.05350326581564402,130250,300,143000,259,300,120937.285228
609135,CO,AB,Quemado,NM,87829,785,752,0.05522384146390413,304250,180,319000,158,180,279087.920968
609423,CO,AB,Phoenix,AZ,85099,718,745,0.06080424089478925,559750,300,585000,234,300,497408.530143
610505,CO,AB,Wilkes Barre,PA,18769,731,733,0.08212771844455452,243750,240,249000,198,240,224217.379127
610702,CO,AB,Rosiclare,IL,62982,527,500,0.10833161025592003,58000,300,68000,257,300,56020.5285181
610959,CO,AB,Troutville,PA,15866,609,564,0.09042565318563754,466000,240,496000,224,240,454246.525116
611822,CO,AB,Surrency,GA,31563,674,697,0.08400314791758821,299250,300,331000,288,300,295573.6657
612223,CO,AB,Farmersville Station,NY,14060,714,736,0.04756670059639541,145250,300,167000,220,300,121497.464673
612898,CO,AB,Fishers Island,NY,06390,694,649,0.06561788121577933,463250,180,495000,117,180,349441.953486
613765,CO,AB,Thornton,IA,50479,566,560,0.10458744031359579,359000,240,424000,212,240,344946.409325
614764,CO,AB,Adrian,MN,56110,504,467,0.048612205153077744,195500,240,210000,151,240,143834.572247
615533,CO,AB,Orange,TX,77631,653,621,0.10292282664664862,379000,300,476000,238,300,356883.989336
615823,CO,AB,West Granby,CT,06090,592,627,0.09496043289760032,414250,180,499000,150,180,378968.414687
616034,CO,AB,Racine,MO,64858,702,694,0.07578588464896055,165000,240,200000,158,240,133424.747928
617067,CO,AB,Baton Rouge,LA,70821,791,764,0.10199776722798017,246750,300,313000,187,300,212867.163732
617709,CO,AB,Mashpee,MA,02649,725,763,0.05077797516171467,246750,240,273000,163,240,192729.060666
618392,CO,AB,Lumberton,NC,28359,727,708,0.04564362884467479,534250,180,567000,123,180,402613.187032
619045,CO,AB,Hockingport,OH,45739,507,502,0.04397995255314288,130500,180,162000,153,180,115961.538359
619942,CO,AB,Columbus,OH,43217,594,600,0.10282489651248797,522500,180,614000,179,180,521271.71417
620909,CO,AB,Prosper,TX,75078,752,788,0.0468870777037593,173750,240,189000,146,240,124102.035643
621945,CO,AB,Key Colony Beach,FL,33051,575,600,0.10959982529920752,400750,180,421000,172,180,393442.224651
